,emotion,labels_clean
17487,angry,What are they doing
17488,angry,Oh lol Well it
17489,angry,Sorry I meant that kids do that enjoy it mom while they are little 
17490,angry,I told them to go to bed hours ago I can still hear them giggling
17491,angry,They do that every night I cant wait for school to start
17492,disgusted,I feel sorr for the poor guy
17493,disgusted,Yea theyre his parents I can imagine everyone being hesitant about telling them what not to do with their own child
17494,disgusted,Yeah me too I tried to comfort him afterwards Theres only so much you can do No one was brave enough to chastise the parents for trying to get him to eat more than he should
17518,disgusted,People can be inconsiderate sometimes I hope you dont get sick
17519,disgusted,Thats true Its nice of you to put yourself in their shoes
17520,disgusted,Well well see Im generally pretty healthy and havent been to the doctor in like over 6 years for anything other than the flu So hopefully my immune system will keep it at bay But it was just its something so simple and avoidable and they didnt do it I guess I should feel more empathy for them though since theyre sick
17552,angry,Thats terrible Sometimes its hard to know who your real friends are and it takes repeated attempts to hang out with them only to have them bail on you to realize that youre not valued by them I say cut your ties sooner rather than later Lifes too short
17553,angry,Oh man When you consider all that then yeah definitely cut ties If they did that to me more than twice then I would realize really quick that they werent the type to depend on or waste time on I feel sorry for you People should have friends that recognize their worth and be able to respect that relationship Go out and find you someone who will
17554,angry,I have to get a baysitter and spend moen just to prepare to go out Its so inconsiderate I think I need new friends
17555,angry,Thats really good advice I can have a better time with other peopl
17559,disgusted,Oh god Someone did pick up their dogs poop hu
17560,disgusted,It mustve been I hope that never happens to you again
17561,disgusted,No unfortunately not  It really grossed me out
17570,annoyed,Thats a bummer
17571,annoyed,Whos concert
17572,annoyed,It is Now its going to be hard to take off work for the makeup concert
17627,annoyed,That isnt cool  Is there anyone else that sells it
17628,annoyed,That is good
17629,annoyed,I looked up some others stores and just bought a bag from Home Depot The birds seemt o like it
17639,disgusted,You and me both my friend
17640,disgusted,I know it is so disturbing
17641,disgusted,He just acting more erratic with the passing of time
17669,disgusted,Why What did they do
17670,disgusted,I understand your frustration
17671,disgusted,They keep   defending those sanctuary cities that are full of criminal imigrants
17681,angry,Why would they do that
17682,angry,Man did you say anything
17683,angry,I have no clue but I was really upset about it
17720,disgusted,Wow that is really gross
17721,disgusted,I can sympathize with you
17722,disgusted,yea i wanted to puke a little
17746,angry,I am sorry to hear thatWe you expecting somthing very expensive
17747,angry,Did you get in touch with  the postal office
17748,angry,Yes its a Nintendo Switch  I am so furious about the situation
17773,angry,Thats good What kind of parade was it
17774,angry,Oh my gosh I would have been so mad Did you call them and complain They need to fix it
17775,angry,The parade in the County Fair When I got home from the car wash I noticed that the car wash had stipped my cars paint
17779,angry,Thats a shame you shouldnt have to do that
17780,angry,Things will get better soon
17781,angry,Yes but the boss is not nice
17782,angry,Did you call the manager and complain
17783,angry,You should of called and told them
17784,angry,No I am just so disappointed about it
17788,annoyed,Do you talk softly
17789,annoyed,You should tell them
17790,annoyed,No it really gets on my nerves
17830,angry,How did she dump you
17831,angry,Will you still be friends with her
17832,angry,She said that she wasnt ready for a relationship
17899,disgusted,oh my was it worth it
17900,disgusted,what a joke are you going to sue
17901,disgusted,NO My 30 salad had a hair in it
17965,annoyed,Did they have permission to take it
17966,annoyed,I hope you can learn to forgive them for it 
17967,annoyed,No they did not  It really bugs me
17968,angry,oh no did you block your cards
17969,angry,what are you going to do about it
17970,angry,Yes I am so upset I lost it
17974,disgusted,eww thats awful
17975,disgusted,i bet it was
17976,disgusted,Yeah it was really gross to see
18021,disgusted,Really lol
18022,disgusted,It will be
18023,disgusted,It was so nasty to look at
18135,angry,Thats horrible  This is why they say never a lender nor a borrower be
18136,angry,I hope it wasnt a lot of money  Sometimes it takes a hard lesson to learn whom to let in your life
18137,angry,Well even worse is that he pretends like it never happened It make thingsdifficult
18167,angry,Thats really tough  But one closed door leads to the next great opportunity
18168,angry,Thats horrible  If you dont have insurance there are a lot of pro bono lawyers that will take your case  Report it to the police so it is documented and justice will prevail  You dont deserve or need to put up with that
18169,angry,Before he left he damaged a lot of my stuff and property
18195,angry,Thats terrible  How did you find out
18196,angry,Its hard to find forgiveness for something like that  Still its better that he confessed than you having to find out otherwise  If only a little better
18197,angry,My friend confessed which I give kudos for but he knows what he did It doesnt make it ok
18201,angry,Oh no I hate that happened and I bet it was scary because it looked like someone broke in But now you have a repair bill Sorry that happened to you
